ags,kurz_name,wald_19_qm,sied_verk_19_qm,landwirt_19_qm,verkehr_19_qm,sied_verk_qm_ew_19
"09679452","Guttenberger Wald",92.4,6.4,0.7,3.6,0
"09679453","Irtenberger Wald",93.4,6.5,0.1,6.5,0
"09761000","Augsburg",24.1,43.8,25.5,11,217
"09762000","Kaufbeuren",23.8,38.3,33.2,7.9,345
"09763000","Kempten (Allgäu)",11.8,32.5,50.4,7.8,297
"09764000","Memmingen",23.8,26.2,46.2,7.4,417
"09771112","Affing",19.1,10.8,66.1,4.1,884
"09771113","Aichach, St",31.1,14.8,50.3,5.5,642
"09771130","Friedberg, St",21.1,19,55.7,6.1,515
"09771140","Hollenbach",23.4,9.9,64.3,3.9,1071
"09771141","Inchenhofen, M",14.8,9.1,73.8,3.7,950
"09771142","Kissing",12.8,20.1,55,5.5,400
"09771145","Merching",4,8.8,77.6,3.7,682
"09771158","Rehling",18.9,9.1,68.4,3.7,925
"09771160","Ried",19.5,9.2,69.3,3.8,857
"09771114","Aindling, M",27.7,11.6,58.3,4.2,814
"09771155","Petersdorf",32.4,10.8,55.2,4.9,1243
"09771169","Todtenweis",21.8,8,61.8,3.7,1142
"09771144","Kühbach, M",25.5,11.9,59.1,5.1,1031
"09771162","Schiltberg",35.4,8.2,53.9,3.9,1246
"09771111","Adelzhausen",22.4,10.3,63.9,5.2,1008
"09771122","Dasing",17.9,13.4,64.7,6.1,942
"09771129","Eurasburg",58.3,8.3,31.2,4.3,1134
"09771149","Obergriesbach",35,13.6,48.1,5.1,714
"09771165","Sielenbach",15.5,9,72.2,3.6,932
"09771146","Mering, M",17.3,18.5,59.3,5.6,335
"09771163","Schmiechen",13.3,8.5,72.8,3.3,839
"09771168","Steindorf",20.1,7.5,69.2,3.2,1244
"09771156","Pöttmes, M",30.3,9.4,57.6,4.1,1130
"09771176","Baar (Schwaben)",42.3,9.7,45.8,4,1379
"09772111","Adelsried",34.3,19.9,42.2,9,811
"09772115","Altenmünster",44.5,11.3,41.6,4.5,1100
"09772117","Aystetten",72.9,17.2,8.2,5.8,543
"09772121","Biberbach, M",41.1,10.2,44.6,4.8,1059
"09772125","Bobingen, St",39,18.4,38.2,5.2,533
"09772130","Diedorf, M",44.9,14.8,36.6,4.6,470
"09772131","Dinkelscherben, M",30.1,10.5,56.8,4.8,1112
"09772141","Fischach, M",39.5,13.2,44,5,819
"09772145","Gablingen",30.9,18.5,46.1,4.8,1044
"09772147","Gersthofen, St",30,32.8,30.8,11.2,497
"09772149","Graben",0,42.2,54.7,5.5,1513
"09772159","Horgau",42.6,10.9,43.9,4.9,994
"09772163","Königsbrunn, St",0.2,49.8,45.1,11.3,327
"09772167","Kutzenhausen",30.4,10.3,56.8,4.6,1149
"09772171","Langweid a.Lech",29.5,19.4,46.9,7.3,554
"09772177","Meitingen, M",14.8,24.3,55.5,8,618
"09772184","Neusäß, St",20.2,33.9,41,8,383
"09772200","Schwabmünchen, St",23.1,15.1,58,5.7,586
"09772202","Stadtbergen, St",32.9,41.9,20.8,9.3,319
"09772207","Thierhaupten, M",31.5,10.2,53.2,4.1,993
"09772215","Wehringen",11.4,14.6,70,4.5,696
"09772223","Zusmarshausen, M",52.4,11.1,32.9,6.3,1188
"09772114","Allmannshofen",21.3,16.6,57.4,5.6,1832
"09772134","Ehingen",13,12.1,71.2,5.3,1052
"09772136","Ellgau",11.6,8.9,73.5,3.6,1066
"09772166","Kühlenthal",25.2,11,61.1,3.6,954
"09772185","Nordendorf",5.7,26.2,60.4,9,794
"09772217","Westendorf",0,22.4,72.4,9.5,860
"09772126","Bonstetten",53.6,14,29.2,4.9,648
"09772137","Emersacker",68.1,9.6,18.8,4.4,786
"09772156","Heretsried",58.6,7.8,31.5,3.6,1337
"09772216","Welden, M",49.5,14.9,32,5.1,696
"09772148","Gessertshausen",51.5,10.2,35.2,4.2,963
"09772211","Ustersbach",24,11.9,61.5,5.1,1134
"09772168","Langenneufnach",32.2,13.2,50.9,5,960
"09772178","Mickhausen",35.1,9.5,51.8,3.8,1053
"09772179","Mittelneufnach",43.8,8.2,45.4,4.3,1348
